RecNo,buildingName,District,inspectionDate,timeElapsed,min(Inspection Date),linearlyWeightedScale,sequenceNbr,spanGroupKey,elementKey,structureName,environmentKey,totalQuantity,Units,elemQuantity1,elemPercent1,ElemQuantity2,ElemPercent2,ElemQuantity3,ElemPercent3,ElemQuantity4,ElemPercent4,Remarks,DownloadDatePontis,ElementInspDelinquent,ElementInspDelinquentReason,ElementLevelProgramManager,ElementLevelTeamLeader,ElementLevelInspector,ElementLevelConsultantProgramManager
821616814,10057,6,2907792000,0,2907792000,101,1,1,8026,Concrete Deck Protected w/ Coated Bars,1,1.30e+4,SF,1.29e+4,99,1.30e+2,1,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821616834,10058,6,3578342400,693532800,2884809600,100,1,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,DudleyBM,RettigJM,RettigJM,
821616837,10058,6,3515529600,630720000,2884809600,100,2,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,DudleyBM,SaathoffGW,RettigJM,
821616858,10058,6,3450902400,566092800,2884809600,100,3,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821616863,10058,6,3388435200,503625600,2884809600,100,4,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821616884,10058,6,3324412800,439603200,2884809600,100,5,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821616889,10058,6,3262118400,377308800,2884809600,100,6,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,SAATHOFFGW,,,
821616910,10058,6,3198614400,313804800,2884809600,100,7,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,James M. Rettig,Greg Saathoff,,
821616915,10058,6,3136492800,251683200,2884809600,100,8,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,James M. Rettig,Greg Saathoff,,
821616936,10058,6,3071606400,186796800,2884809600,100,9,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Michael J.Varley,James M. Rettig,,
821616941,10058,6,3009744000,124934400,2884809600,100,10,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Michael J.Varley,,,
821616962,10058,6,2949609600,64800000,2884809600,100,11,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821616966,10058,6,2884809600,0,2884809600,100,12,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.09e+3,SF,7.09e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821616987,10060,6,3578342400,694310400,2884032000,101,1,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,DudleyBM,RettigJM,,
821616991,10060,6,3515616000,631584000,2884032000,101,2,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,DudleyBM,SaathoffGW,,
821617012,10060,6,3450902400,566870400,2884032000,101,3,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,Good cond.,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821617017,10060,6,3388435200,504403200,2884032000,101,4,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,Good cond.,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821617038,10060,6,3324412800,440380800,2884032000,101,5,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,Good cond.,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821617043,10060,6,3262204800,378172800,2884032000,101,6,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,Good cond.,09/16/2018 4:13 AM,0,,SAATHOFFGW,,,
821617064,10060,6,3198614400,314582400,2884032000,101,7,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Greg Saathoff,James M. Rettig,,
821617069,10060,6,3136492800,252460800,2884032000,101,8,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Greg Saathoff,James M. Rettig,,
821617090,10060,6,3071606400,187574400,2884032000,101,9,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.11e+3,99,5.00e+1,1,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Michael J.Varley,,,
821617095,10060,6,2949696000,65664000,2884032000,101,10,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.07e+3,99,9.20e+1,1,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617116,10060,6,2884032000,0,2884032000,100,11,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.16e+3,SF,9.16e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617121,10061,6,3578428800,694396800,2884032000,100,1,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,DudleyBM,RettigJM,,
821617142,10061,6,3515616000,631584000,2884032000,100,2,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,DudleyBM,SaathoffGW,,
821617146,10061,6,3452025600,567993600,2884032000,100,3,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821617220,10061,6,3135542400,251510400,2884032000,100,8,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,James M. Rettig,Greg Saathoff,,
821617224,10061,6,3071606400,187574400,2884032000,100,9,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Michael J.Varley,,,
821617245,10061,6,2949609600,65577600,2884032000,100,10,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617250,10061,6,2884032000,0,2884032000,100,11,1,8026,Concrete Deck Protected w/ Coated Bars,1,1.24e+4,SF,1.24e+4,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617168,10061,6,3389212800,505180800,2884032000,100,4,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821617176,10061,6,3324412800,440380800,2884032000,100,5,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821617193,10061,6,3262204800,378172800,2884032000,100,6,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,SAATHOFFGW,,,
821617198,10061,6,3199651200,315619200,2884032000,100,7,1,8026,Concrete Deck Protected w/ Coated Bars,1,9.58e+3,SF,9.58e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,SAATHOFFGW,RETTIGJM,,
821617613,10064,6,3325536000,438393600,2887142400,100,5,1,8026,Concrete Deck Protected w/ Coated Bars,1,6.94e+3,SF,6.91e+3,100,3.40e+1,0,0.00e+0,0,0.00e+0,0,"Deck minor spalls noted,        Sealed with oil & chip",09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821617633,10064,6,3262118400,374976000,2887142400,100,6,1,8026,Concrete Deck Protected w/ Coated Bars,1,6.94e+3,SF,6.93e+3,100,9.00e+0,0,0.00e+0,0,0.00e+0,0,Deck minor spalls noted,09/16/2018 4:13 AM,0,,SAATHOFFGW,,,
821617639,10064,6,3198614400,311472000,2887142400,100,7,1,8026,Concrete Deck Protected w/ Coated Bars,1,6.94e+3,SF,6.93e+3,100,9.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,COPENBARGERDA,,,
821617657,10064,6,3134937600,247795200,2887142400,100,8,1,8026,Concrete Deck Protected w/ Coated Bars,1,6.94e+3,SF,6.94e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,James M. Rettig,Greg Saathoff,,
821617662,10064,6,3071779200,184636800,2887142400,100,9,1,8026,Concrete Deck Protected w/ Coated Bars,1,6.94e+3,SF,6.94e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Michael J.Varley,,,
821617681,10064,6,2949609600,62467200,2887142400,100,10,1,8026,Concrete Deck Protected w/ Coated Bars,1,6.94e+3,SF,6.94e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617686,10064,6,2887142400,0,2887142400,100,11,1,8026,Concrete Deck Protected w/ Coated Bars,1,6.94e+3,SF,6.94e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617755,10065,6,3325536000,438393600,2887142400,100,5,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.70e+3,SF,7.70e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
821617759,10065,6,3262118400,374976000,2887142400,100,6,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.70e+3,SF,7.70e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,SAATHOFFGW,,,
821617779,10065,6,3198614400,311472000,2887142400,100,7,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.70e+3,SF,7.70e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,COPENBARGERDA,,,
821617784,10065,6,3134937600,247795200,2887142400,100,8,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.70e+3,SF,7.70e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,James M. Rettig,Greg Saathoff,,
821617803,10065,6,3071606400,184464000,2887142400,100,9,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.70e+3,SF,7.70e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Michael J.Varley,,,
821617808,10065,6,2949609600,62467200,2887142400,100,10,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.70e+3,SF,7.70e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617827,10065,6,2887142400,0,2887142400,100,11,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.70e+3,SF,7.70e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617832,10066,6,3011126400,127094400,2884032000,100,1,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.23e+3,SF,7.20e+3,100,2.70e+1,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Charlie Koch,,,
821617850,10066,6,2884032000,0,2884032000,100,2,1,8026,Concrete Deck Protected w/ Coated Bars,1,7.23e+3,SF,7.23e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,Pontis2,Pontis2,,
821617856,10067,6,3568233600,630201600,2938032000,100,1,1,8026,Concrete Deck Protected w/ Coated Bars,1,5.83e+3,SF,5.83e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,DudleyBM,SaathoffGW,SaathoffGW,
821617874,10067,6,3504643200,566611200,2938032000,100,2,1,8026,Concrete Deck Protected w/ Coated Bars,1,5.83e+3,SF,5.83e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,CopenbargerDA,RettigJM,SaathoffGW,
821617878,10067,6,3441916800,503884800,2938032000,100,3,1,8026,Concrete Deck Protected w/ Coated Bars,1,5.83e+3,SF,5.83e+3,100,0.00e+0,0,0.00e+0,0,0.00e+0,0,,09/16/2018 4:13 AM,0,,RETTIGJM,SAATHOFFGW,,
